model,station,method,metric,raw,corrected,delta_corrected_minus_raw,ci_low,ci_high,p_two_sided,n_bootstrap,p_fdr,point_improved,ci_improved,ci_worsened,fdr_significant
ACCESS-ESM1-5,500202,QDM_NP_monthly,mRMSE,125.00532058593213,159.73978997285374,34.73446938692162,9.02795314101997,61.251185059359315,0.010994502748625687,2000,0.029985007496251877,False,False,True,True
ACCESS-ESM1-5,500202,QDM_NP_monthly,mKGE,0.15793460962384076,-0.03917576409707002,-0.19711037372091078,-0.7216361064026883,0.18021644937629838,0.33983008495752126,2000,0.5663834749292022,False,False,False,False
ACCESS-ESM1-5,500202,QDM_P_annual,mRMSE,125.00532058593213,161.7356169552055,36.730296369273375,21.129270038566272,52.1235491382476,0.0009995002498750624,2000,0.0015376926921154808,False,False,True,True
ACCESS-ESM1-5,500202,QDM_P_annual,mKGE,0.15793460962384076,-0.024620298572723964,-0.18255490819656472,-0.5833595352261511,0.04838694071135025,0.17491254372813594,2000,0.23851710508382176,False,False,False,False
ACCESS-ESM1-5,500202,QDM_P_monthly,mRMSE,125.00532058593213,145.49072800902206,20.48540742308994,-6.757052919031234,48.53355349620141,0.14292853573213393,2000,0.24502034696937247,False,False,False,False
ACCESS-ESM1-5,500202,QDM_P_monthly,mKGE,0.15793460962384076,0.12218064798734296,-0.0357539616364978,-0.5043514106880864,0.2721895696600875,0.8685657171414293,2000,0.8985162591118234,False,False,False,False
ACCESS-ESM1-5,500301,QDM_NP_annual,mRMSE,120.24109794702456,175.65872197661673,55.417624029592176,28.12171552232139,79.83310540860609,0.0009995002498750624,2000,0.001275957765797952,False,False,True,True
ACCESS-ESM1-5,500301,QDM_NP_annual,mKGE,0.2786541698531837,-0.050809159844839025,-0.3294633296980227,-0.9185757486191979,0.09464587338078348,0.1679160419790105,2000,0.22897642088046888,False,False,False,False
ACCESS-ESM1-5,500301,QDM_NP_monthly,mRMSE,120.24109794702456,148.06152686548285,27.82042891845829,3.855906190726134,50.27849731321877,0.0239880059970015,2000,0.051402869993574636,False,False,True,False
ACCESS-ESM1-5,500301,QDM_NP_monthly,mKGE,0.2786541698531837,0.13707047119125637,-0.14158369866192733,-0.6588575467140282,0.2638028633666734,0.5247376311844077,2000,0.7496251874062968,False,False,False,False
ACCESS-ESM1-5,500301,QDM_P_annual,mRMSE,120.24109794702456,112.95499040834278,-7.286107538681776,-21.05681238944637,3.322347908934337,0.2538730634682659,2000,0.2672348036508062,True,False,False,False
ACCESS-ESM1-5,500301,QDM_P_annual,mKGE,0.2786541698531837,0.31984661989886176,0.041192450045678064,-0.006401834755504552,0.18945383649276895,0.12293853073463268,2000,0.17154213590878978,True,False,False,False
ACCESS-ESM1-5,500301,QDM_P_monthly,mRMSE,120.24109794702456,123.2697649866708,3.028667039646237,-9.232739335162739,16.875673213352698,0.6826586706646677,2000,0.8049821243224541,False,False,False,False
ACCESS-ESM1-5,500301,QDM_P_monthly,mKGE,0.2786541698531837,0.36296526787389116,0.08431109802070746,-0.16308309787906722,0.20533671615358995,0.48575712143928035,2000,0.6610028319173746,True,False,False,False
CanESM5,500001,QDM_NP_annual,mRMSE,96.38895585079212,103.15128271246164,6.762326861669521,4.061046139086168,9.329671048132557,0.0009995002498750624,2000,0.001275957765797952,False,False,True,True
CanESM5,500001,QDM_NP_annual,mKGE,0.31725382842750915,0.26632641586209505,-0.05092741256541411,-0.09657194063636783,-0.013627236225724745,0.0069965017491254375,2000,0.018251743693370705,False,False,True,True
CanESM5,500001,QDM_NP_monthly,mRMSE,96.38895585079212,122.97625405695585,26.587298206163737,-7.495099269275144,72.02090754816761,0.44677661169415295,2000,0.6728343145500421,False,False,False,False
CanESM5,500001,QDM_NP_monthly,mKGE,0.31725382842750915,0.21742031679353868,-0.09983351163397047,-0.4970880017096521,0.09454780902347795,0.6356821589205397,2000,0.7971014492753623,False,False,False,False
CanESM5,500001,QDM_P_annual,mRMSE,96.38895585079212,102.96071350973887,6.571757658946751,1.0754709246194303,12.051120293277467,0.017991004497751123,2000,0.0220298014258177,False,False,True,True
