model,season_type,ENSO_phase,station,index,R_RAW_pct,R_QDM_pct,PE_ENSO_pct
CanESM5,HOT_DRY,EL_NINO,351004,R20mm,25.0,150.0,500.0
CESM2,HOT_DRY,EL_NINO,351004,R20mm,212.5,379.17,78.43
EC-Earth3,HOT_DRY,EL_NINO,351004,R20mm,118.75,162.5,36.84
FGOALS-g3,HOT_DRY,EL_NINO,351004,R20mm,-37.5,38.89,-203.71
MIROC6,HOT_DRY,EL_NINO,351004,R20mm,493.75,-2.78,-100.56
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,R20mm,-100.0,25.0,-125.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,R50mm,0.0,-58.33,0.0
CanESM5,HOT_DRY,EL_NINO,351004,R50mm,0.0,0.0,0.0
CESM2,HOT_DRY,EL_NINO,351004,R50mm,0.0,0.0,0.0
EC-Earth3,HOT_DRY,EL_NINO,351004,R50mm,0.0,56.25,0.0
FGOALS-g3,HOT_DRY,EL_NINO,351004,R50mm,-100.0,66.67,-166.67
MIROC6,HOT_DRY,EL_NINO,351004,R50mm,0.0,-16.67,0.0
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,R50mm,0.0,87.5,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,R95p,0.0,-40.23,0.0
CanESM5,HOT_DRY,EL_NINO,351004,R95p,0.0,60.47,0.0
CESM2,HOT_DRY,EL_NINO,351004,R95p,0.0,813.44,0.0
EC-Earth3,HOT_DRY,EL_NINO,351004,R95p,0.0,95.1,0.0
FGOALS-g3,HOT_DRY,EL_NINO,351004,R95p,-50.56,68.29,-235.07
MIROC6,HOT_DRY,EL_NINO,351004,R95p,0.0,-34.13,0.0
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,R95p,0.0,115.8,0.0
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,R99p,0.0,-1.98,0.0
CanESM5,HOT_DRY,EL_NINO,351004,R99p,0.0,-8.02,0.0
CESM2,HOT_DRY,EL_NINO,351004,R99p,0.0,0.0,0.0
EC-Earth3,HOT_DRY,EL_NINO,351004,R99p,0.0,107.15,0.0
FGOALS-g3,HOT_DRY,EL_NINO,351004,R99p,0.0,180.11,0.0
MIROC6,HOT_DRY,EL_NINO,351004,R99p,0.0,0.0,0.0
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,R99p,0.0,0.0,0.0
