year,mme_mean,mme_median,q25,q75,mme_min,mme_max,mme_std,scenario,scale
1991,131.57408163265305,129.42857142857142,89.405,157.12892857142856,45.4442857142857,253.07785714285708,69.7316519215866,ssp245,dry
1992,128.74561224489796,130.295,118.2625,141.00964285714286,60.91285714285715,191.46714285714285,39.41774714565601,ssp245,dry
1993,141.22173469387755,118.67214285714287,95.43142857142857,178.7260714285714,80.21785714285714,241.34714285714284,64.67754152615001,ssp245,dry
1994,161.58122448979591,154.71,123.33928571428571,200.07607142857142,83.81928571428571,245.7085714285714,58.653494604952364,ssp245,dry
1995,138.67102040816326,104.81285714285715,85.16892857142857,131.8017857142857,61.9857142857143,369.95714285714286,106.28126919936912,ssp245,dry
1996,174.84683673469388,122.64642857142857,117.40785714285715,222.4614285714286,93.19357142857143,328.3492857142857,86.53270593188492,ssp245,dry
1997,292.10061224489795,227.5914285714286,159.5467857142857,390.0132142857143,131.6192857142857,586.3735714285714,185.39560004549554,ssp245,dry
1998,130.20989795918368,135.08785714285713,112.0825,158.70964285714288,60.75428571428571,174.04285714285717,38.97860656784496,ssp245,dry
1999,142.20979591836732,141.80071428571426,100.94071428571428,175.36964285714282,74.76714285714286,226.28,54.15974087912779,ssp245,dry
2000,157.39428571428567,119.85142857142854,111.8,212.6628571428571,110.38857142857141,222.59428571428572,54.99841837088881,ssp245,dry
2001,144.9795918367347,147.29571428571427,114.34607142857143,159.3775,21.419285714285714,298.695,82.87222440007582,ssp245,dry
2002,113.7161224489796,111.2957142857143,88.1075,143.94107142857143,55.47785714285714,165.1421428571429,41.51599649667293,ssp245,dry
2003,171.32295918367348,174.0514285714286,121.57785714285716,183.79607142857145,93.22714285714285,321.2342857142857,75.4090324140995,ssp245,dry
2004,186.415,135.95857142857142,108.07392857142858,233.10142857142853,105.99999999999999,380.5957142857143,113.2047355999072,ssp245,dry
2005,209.0969387755102,151.24499999999998,126.85142857142857,253.50428571428574,118.78428571428572,432.93785714285707,118.66916789745858,ssp245,dry
2006,151.32326530612244,142.80571428571426,98.94571428571427,197.74464285714288,43.52214285714285,279.55428571428564,84.05248781647671,ssp245,dry
2007,118.77612244897958,124.57642857142856,79.93071428571429,150.08357142857142,69.01428571428572,177.8135714285714,44.4513963797737,ssp245,dry
2008,163.1834693877551,160.34214285714285,90.74535714285715,188.94535714285718,37.98285714285714,384.57785714285717,114.11066737490565,ssp245,dry
2009,173.50163265306122,132.61285714285714,82.08214285714286,247.57607142857142,65.26714285714286,357.31500000000005,115.17568332349084,ssp245,dry
2010,149.66857142857143,155.72785714285715,121.52821428571431,183.25464285714287,62.440714285714286,219.94571428571427,53.08647790534383,ssp245,dry
2011,180.08193877551022,173.42428571428573,109.94607142857143,239.94071428571425,39.455714285714286,347.92,108.47336180860374,ssp245,dry
2012,153.73826530612246,142.47785714285715,88.14107142857144,206.61392857142857,76.69357142857143,267.4864285714286,79.51102404832804,ssp245,dry
2013,158.10265306122452,145.51642857142858,84.99642857142857,208.755,78.9542857142857,294.745,83.12268026297679,ssp245,dry
2014,157.94806122448978,152.13571428571427,108.25035714285714,189.8157142857143,94.46285714285715,262.9057142857143,61.22384478722028,ssp245,dry
2015,235.5604081632653,235.24285714285716,160.47785714285715,315.00321428571425,127.07214285714285,335.64571428571435,87.80033337517594,ssp245,dry
2016,204.10969387755102,210.08999999999995,167.28071428571428,221.33857142857144,132.6342857142857,308.80499999999995,58.642788324095605,ssp245,dry
2017,294.2327551020408,202.92571428571424,166.33678571428572,368.1978571428572,134.27285714285716,653.3614285714286,186.50106382008997,ssp245,dry
2018,147.08816326530612,153.96285714285713,116.45107142857144,173.3317857142857,78.01142857142858,218.07714285714286,49.00153157029081,ssp245,dry
